GlobalId,Type,Name,StoreyName,StoreyGlobalId
30J_k2TC9AhvVgv49S_4Zi,IfcTask,"Structural Framing, Area 1",,
2GB5G81pTDguUG9YWwuioR,IfcTask,"Structural Framing, Area 2",,
2IPzGRsv55wPx5DmYgqA6a,IfcTask,"Structural Framing, Area 3",,
2dtx_yfWDCpQFNl3F3Jdaq,IfcTask,"Structural Framing, Area 4",,
1a93JwzOP7iPXpkCWUWWcV,IfcTask,Plumb/ Bolt / Weld Area 1,,
1Yd2RCZ4PASvYZ0aLhfkMn,IfcTask,Plumb/ Bolt / Weld Area 2,,
1HXAvuEqD8RQ055p4wZ8Ur,IfcTask,Plumb/ Bolt / Weld Area 3,,
3aY1U1oAL12As0NzHE1l$a,IfcTask,Plumb/ Bolt / Weld Area 4,,
1cXvvV0JzETweiMeaPO2D8,IfcTask,Exterior Stairs,,
2OCkgC0w99KgSdisW2Ab_Z,IfcTask,"Interior Stairs, Ground Floor",,
3cRYXSyF1Cg8pPS3oDos5q,IfcTask,"Interior Stairs, First Floor",,
1R_pMWcqnC1wXQXiGNXlFz,IfcTask,Misc. Handrails,,
3l$_EpQs128QJfIHCwpvnX,IfcTask,Masonry,,
0Zi8i4Un1DvfQp6L1H06MV,IfcTask,Brickwork / Backup Elevation 1,,
0tmJBgugTD4hKxzxQZKNyE,IfcTask,"Brickwork / Backup, Elevation 2",,
2LYQlMD6L8WRUn0LyHXmYX,IfcTask,"Brickwork / Backup, Elevation 3",,
0J2tkJtUz8vf3RKIpqSw7Z,IfcTask,Brickwork / Backup Elevation 4,,
3ijaCyvy91OAcQDc6J9ugz,IfcTask,"Brickwork / Backup, Exterior Mechanical Room",,
3N3oLkXkf1ah3uMBmgnj64,IfcTask,"Blockwork, Mechanical / Elevator Shaft, Ground Floor",,
10isjKg2vD1Q5LtSsqSMD_,IfcTask,"Blockwork, Elevator / Mechanical Shaft, 1st Floor",,
0$CTpiyULDB8YfqrLEEgJm,IfcTask,"Blockwork, Elevator / Mechanical Shaft, 2nd Floor",,
0W_50lwWT6sff$3GUMmfNC,IfcTask,Doors and Windows,,
1rOBZdCpb2t9sDNtrXoF4D,IfcTask,"Exterior Doors, Frames, Hardware",,
0wbt5McPb99RZPR0SKYdlo,IfcTask,"Interior Doors, Frames, Hardware",,
04vrqVpiXD0wrX4sdKym99,IfcTask,Glass Entry Doors,,
2X_Zx$0_z9RQNpDWGJ5hE7,IfcTask,"Glass Curtain Wall, Elevation 1",,
0Pqip_gqX6We0_0qO4HRul,IfcTask," Glass Curtain Wall, Elevation 2",,
1B9l3dLgvDZAJgQGcbqQoo,IfcTask,"Glass Curtain Wall, Elevation 3",,
1fmAcboVPBqPAJJDtlCjQ7,IfcTask,"Glass Curtain Wall, Elevation 4",,
2yc84gyM19z9BM5KDgFwWZ,IfcTask,Glass Railings,,
3_pU3vQ3P2ug_5lRS317I9,IfcTask,Finishes,,
0qV99plfnDnP$mywxAmY3Q,IfcTask,"Core Walls, Ground Floor",,
31GUuaxdj0_hBX_fGrMMa3,IfcTask,"Core Walls, 1st Floor",,
3fk4Hg9if8wQr2t6x4PxaH,IfcTask," Core Walls, 2nd Floor",,
1lEPEZu51EdPHIPybLdvRl,IfcTask,Perimeter Drywall,,
2rCYtTUSz9axtG5AVATnMX,IfcTask,Toilet Room Finishes,,
3_kPlQJ856COSmRi7ZDdH1,IfcTask,Misc. Finishes,,
0XOFzprRf7MhwI9pSFiQv3,IfcTask,Thermal and Moisture Protection,,
2UBR3jWPXEjRUvsYfBiny4,IfcTask,Low Roofing,,
1i03rViSb5Z95o3_vipzvw,IfcTask,High Roofing,,
38x8CqdF14EBuF5HpWwmzf,IfcTask,Roof Parapet Cap / Trim,,
24dSsF5CD3AvbAZLsc4C3j,IfcTask,Temporary Roof at Skylight,,
1q2OOLSWTAv8sknJtPcTIx,IfcTask,Specialties,,
3Scy9cYKv89gOkltaQQf3I,IfcTask,Mechanical Room Louvers,,
3cbsGUJQ11hRijHd6Xd5Iw,IfcTask,Glass Skylight,,
3lHdsg7jD4evTTEvwGvpf8,IfcTask,Conveying Systems,,
20D79VlEn26gjuhXu$RDHt,IfcTask,Elevator,,
3fTQ$RQT5BvxNLEo_2KeYI,IfcTask,Temporary Hoist,,
0jBHiOJMb5eBGN1jkM8c_V,IfcTask,Mechanical,,
1v130Ysqr4TwQRxhkRBjvW,IfcTask,Plumbing,,
3QhKED3Wn9tvfrLHrGssyO,IfcTask,Domestic Water,,
21Enf79PzFrPeQOe4D8EKL,IfcTask,Sanitary Sewage,,
1OitzA0pb5fAqAwtnhOknI,IfcTask,Toilet Room / Janitor's Room Fixtures / Trim,,
2$4wYNk_L1S9l_RXZqmHdj,IfcTask,Roof Drainage,,
2e5BGQkHf2Gf7LyfFRDpIb,IfcTask,Natural Gas,,
39hXx7DNP9GPJLmrxE6SCh,IfcTask,HVAC,,
0xiMP4CAD9u85IdKwAAJQY,IfcTask,Air Handling Unit ,,
3KtGhfOBXEyuLbA8AVzng4,IfcTask,Vertical Ductwork,,
39_$09sOb5Ffe0MZKZKLV5,IfcTask,Horizontal Ductwork,,
3m9tq4nJj5cgAJZgLHmQCi,IfcTask,Registers / Grilles / Diffusers,,
2$wO5j2CL9QQl$l1F3QJNs,IfcTask,Electrical,,
2elErFfo19fe42pQxYqjhV,IfcTask,Main Switch Gear / Panelboards,,
2U0m_5dT9CMQhMDL9fBbj_,IfcTask,Electrical Distribution,,
1fDRdWja1DNeADoZB3QIdO,IfcTask,Electrical Devices,,
398XMqQFfAAxI9odJXOvFU,IfcTask,Light Fixtures,,
2MRmGUvnv4iwiE$9CLhnot,IfcTask,Project Completion,,
0oBelVyWv2q8r6XQbnBoXx,IfcTask,Commissioning of Mechanical Systems,,
2bjxm2Ap99Gvf3IGCIsmzN,IfcTask,Final Inspections,,
1hmpGno1z7qQIC6R316fQZ,IfcTask,Punch List,,
0$Rr5gpFnEEw54fq163OXM,IfcTask,Final Clean,,
0dzA91ydz6gek_ZbRCAikI,IfcTask,Site De-Mobilization,,
211T4MXVT7HPkjllJj7NqW,IfcTask,Certificate of Occupancy,,
3oEgLeFZb08uU3QnryQe3i,IfcTask,Project Turnover,,
3TkIUw3IX4IuAqW8$I2WGD,IfcBuildingElementProxy,Excavator.dwf,Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3g1No4VM13Lu0epKh2RFEe,IfcBuildingElementProxy,Detailed Crawler Crane.dwf,Storey-1,1Lk5PZnyL1RvvyplDGRJAK
3MnI$7Pm184eXIk2zsUDRD,IfcBuildingElementProxy,Curb [417304],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
0zO0zj9fz2DwwLyHL173a0,IfcBuildingElementProxy,Synchro Flag [328914],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2p05HrCNHCruhKxxAYMPGO,IfcBuildingElementProxy,curb2 [210118],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
2fc8RXC4HANOpMVSdc52Nv,IfcBuildingElementProxy,Street Light - Sgl [204854],Storey-1,1Lk5PZnyL1RvvyplDGRJAK
